FileName,NumberOfLinesAdded,NumberOLinesDeleted,NumberOfLinesChangedTotal,NumberOfAuthors,NumberOfCommits,NumberOfCommitsOnlyForBugFix,AvgLinesAddedPerCommit,AvgLinesDeletedPerCommit,AvgLinesChangedPerCommit
error-patterns/guava/PositiveCase1.java,18.0,14.0,43.0,2.0,7.0,3.0,2.57,2.0,6.14
error-patterns/guava/PositiveCase1.class,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
pom.xml,668.0,509.0,1772.0,11.0,184.0,26.0,3.63,2.77,9.63
src/main/resources/com/google/errorprone/errors.properties,20.0,40.0,60.0,2.0,3.0,0.0,6.67,13.33,20.0
src/main/java/com/google/errorprone/matchers/ErrorProducingMatcher.java,56.0,56.0,119.0,1.0,5.0,1.0,11.2,11.2,23.8
src/main/java/com/google/errorprone/matchers/MethodInvocationArgumentMatcher.java,51.0,94.0,152.0,2.0,6.0,0.0,8.5,15.67,25.33
COPYING,202.0,0.0,202.0,1.0,1.0,0.0,202.0,0.0,202.0
src/main/java/com/google/errorprone/VisitorState.java,158.0,210.0,496.0,3.0,16.0,3.0,9.88,13.12,31.0
src/main/deploy-only-resources/META-INF/services/javax.annotation.processing.Processor,5.0,5.0,10.0,1.0,2.0,0.0,2.5,2.5,5.0
src/main/java/com/google/errorprone/matchers/CapturingMatcher.java,68.0,68.0,140.0,1.0,4.0,1.0,17.0,17.0,35.0
src/test/java/com/google/errorprone/PreconditionsCheckNotNullTest.java,199.0,186.0,485.0,2.0,14.0,9.0,14.21,13.29,34.64
src/main/java/com/google/errorprone/matchers/PreconditionsCheckNotNullMatcher.java,68.0,68.0,157.0,1.0,8.0,2.0,8.5,8.5,19.62
src/main/java/com/google/errorprone/matchers/MethodInvocationMethodSelectMatcher.java,39.0,77.0,117.0,2.0,4.0,0.0,9.75,19.25,29.25
src/main/java/com/google/errorprone/matchers/Matcher.java,79.0,107.0,190.0,3.0,5.0,0.0,15.8,21.4,38.0
src/main/java/com/google/errorprone/matchers/StaticMethodMatcher.java,133.0,153.0,364.0,2.0,10.0,3.0,13.3,15.3,36.4
src/main/java/com/google/errorprone/ASTVisitor.java,580.0,915.0,1660.0,2.0,16.0,7.0,36.25,57.19,103.75
src/main/java/com/google/errorprone/ErrorProneProcessor.java,152.0,149.0,376.0,2.0,13.0,5.0,11.69,11.46,28.92
error-patterns/guava/NegativeCase1.java,15.0,15.0,30.0,1.0,3.0,1.0,5.0,5.0,10.0
error-patterns/guava/PositiveCase2.java,36.0,12.0,72.0,2.0,4.0,2.0,9.0,3.0,18.0
src/main/java/com/google/errorprone/ErrorReporter.java,29.0,56.0,87.0,2.0,5.0,1.0,5.8,11.2,17.4
src/main/java/com/google/errorprone/JSR269ErrorReporter.java,63.0,63.0,128.0,1.0,5.0,1.0,12.6,12.6,25.6
src/main/java/com/google/errorprone/SuggestedFix.java,35.0,35.0,70.0,1.0,2.0,1.0,17.5,17.5,35.0
src/test/java/com/google/errorprone/ErrorFindingCompilerIntegrationTest.java,189.0,304.0,605.0,2.0,8.0,1.0,23.62,38.0,75.62
src/test/java/com/google/errorprone/ErrorProneProcessorIntegrationTest.java,143.0,143.0,295.0,1.0,3.0,0.0,47.67,47.67,98.33
