FileName,NumberOfLinesAdded,NumberOLinesDeleted,NumberOfLinesChangedTotal,NumberOfAuthors,NumberOfCommits,NumberOfCommitsOnlyForBugFix,AvgLinesAddedPerCommit,AvgLinesDeletedPerCommit,AvgLinesChangedPerCommit
CVSROOT/loginfo,27.0,27.0,55.0,2.0,3.0,1.0,9.0,9.0,18.33
CVSROOT/modules,26.0,26.0,52.0,2.0,2.0,0.0,13.0,13.0,26.0
CVSROOT/notify,12.0,12.0,24.0,2.0,2.0,0.0,6.0,6.0,12.0
CVSROOT/rcsinfo,13.0,13.0,26.0,2.0,2.0,0.0,6.5,6.5,13.0
CVSROOT/taginfo,20.0,20.0,40.0,2.0,2.0,0.0,10.0,10.0,20.0
CVSROOT/commitinfo,15.0,15.0,30.0,2.0,2.0,0.0,7.5,7.5,15.0
CVSROOT/checkoutlist,13.0,13.0,26.0,2.0,2.0,0.0,6.5,6.5,13.0
CVSROOT/editinfo,21.0,21.0,42.0,2.0,2.0,0.0,10.5,10.5,21.0
CVSROOT/config,14.0,14.0,28.0,2.0,2.0,0.0,7.0,7.0,14.0
CVSROOT/cvswrappers,23.0,23.0,46.0,2.0,2.0,0.0,11.5,11.5,23.0
CVSROOT/verifymsg,21.0,21.0,42.0,2.0,2.0,0.0,10.5,10.5,21.0
JodaTime/src/java/org/joda/time/chrono/gj/GJZonedChronology.java,173.0,173.0,398.0,2.0,4.0,1.0,43.25,43.25,99.5
JodaTime/src/java/org/joda/time/chrono/OffsetDateTimeField.java,308.0,308.0,678.0,2.0,4.0,1.0,77.0,77.0,169.5
JodaTime/src/example/org/joda/example/time/DateTimeBrowser.java,1231.0,1231.0,2514.0,2.0,7.0,5.0,175.86,175.86,359.14
JodaTime/src/test/org/joda/test/time/chrono/gj/TestGJDayOfMonthField.java,118.0,118.0,247.0,1.0,4.0,1.0,29.5,29.5,61.75
JodaTime/.cvsignore,15.0,15.0,41.0,2.0,10.0,0.0,1.5,1.5,4.1
JodaTime/src/java/org/joda/time/AbstractDateTime.java,1283.0,1283.0,3049.0,2.0,18.0,4.0,71.28,71.28,169.39
JodaTime/src/test/org/joda/test/time/gj/TestGJMillisOfSecondDateTimeField.java,116.0,116.0,237.0,2.0,4.0,2.0,29.0,29.0,59.25
JodaTime/src/java/org/joda/time/tz/DateTimeZoneBuilder.java,1993.0,1993.0,4424.0,2.0,21.0,5.0,94.9,94.9,210.67
JodaTime/src/java/org/joda/time/chrono/gj/GJLocaleSymbols.java,271.0,271.0,571.0,2.0,4.0,1.0,67.75,67.75,142.75
JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java,289.0,289.0,596.0,2.0,5.0,2.0,57.8,57.8,119.2
JodaTime/src/test/org/joda/test/time/AbstractTestDateTimeField.java,642.0,642.0,1302.0,1.0,5.0,2.0,128.4,128.4,260.4
JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java,120.0,120.0,240.0,1.0,2.0,1.0,60.0,60.0,120.0
JodaTime/src/test/org/joda/test/time/gj/TestGJMinuteOfDayDateTimeField.java,116.0,116.0,237.0,2.0,4.0,2.0,29.0,29.0,59.25
JodaTime/src/java/org/joda/time/tz/FixedDateTimeZone.java,167.0,167.0,387.0,2.0,11.0,4.0,15.18,15.18,35.18
JodaTime/src/test/org/joda/test/time/gj/TestGJDayOfWeekDateTimeField.java,194.0,194.0,393.0,2.0,4.0,2.0,48.5,48.5,98.25
JodaTime/src/java/org/joda/time/tz/src/solar87,388.0,388.0,776.0,2.0,2.0,1.0,194.0,194.0,388.0
JodaTime/src/java/org/joda/time/DateTimeComparator.java,501.0,501.0,1296.0,2.0,18.0,8.0,27.83,27.83,72.0
JodaTime/src/java/org/joda/time/format/DateTimeParser.java,369.0,369.0,945.0,2.0,9.0,2.0,41.0,41.0,105.0
JodaTime/src/test/org/joda/test/time/AbstractTestReadableInstant.java,481.0,481.0,967.0,2.0,4.0,2.0,120.25,120.25,241.75
JodaTime/src/test/org/joda/test/time/BulkTest.java,741.0,741.0,1498.0,2.0,6.0,2.0,123.5,123.5,249.67
JodaTime/src/test/org/joda/test/time/gj/TestGJDayOfMonthDateTimeField.java,141.0,141.0,287.0,2.0,4.0,2.0,35.25,35.25,71.75
JodaTime/src/java/org/joda/time/tz/src/Readme.txt,64.0,64.0,190.0,2.0,64.0,58.0,1.0,1.0,2.97
JodaTime/src/test/org/joda/test/time/iso/TestISOHalfdayOfDayDateTimeField.java,88.0,88.0,181.0,2.0,4.0,2.0,22.0,22.0,45.25
JodaTime/src/java/org/joda/time/chrono/buddhist/package.html,74.0,74.0,213.0,2.0,3.0,0.0,24.67,24.67,71.0
JodaTime/src/java/org/joda/time/tz/src/europe,15365.0,15365.0,43720.0,2.0,30.0,27.0,512.17,512.17,1457.33
JodaTime/src/test/org/joda/test/time/gj/TestGJClockhourOfDayDateTimeField.java,138.0,138.0,281.0,2.0,4.0,2.0,34.5,34.5,70.25
JodaTime/src/test/org/joda/test/time/gj/TestGJMonthOfYearDateTimeField.java,253.0,253.0,511.0,2.0,4.0,2.0,63.25,63.25,127.75
JodaTime/src/java/org/joda/time/field.html,592.0,592.0,1399.0,2.0,3.0,1.0,197.33,197.33,466.33
JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,418.0,418.0,932.0,1.0,3.0,1.0,139.33,139.33,310.67
JodaTime/src/java/org/joda/time/format/DateTimePrinter.java,437.0,437.0,1098.0,2.0,12.0,3.0,36.42,36.42,91.5
JodaTime/src/example/org/joda/example/time/DateTimeBrowser.README.txt,53.0,53.0,106.0,1.0,2.0,1.0,26.5,26.5,53.0
JodaTime/src/java/org/joda/time/chrono/DelegateChronology.java,339.0,339.0,678.0,1.0,2.0,0.0,169.5,169.5,339.0
JodaTime/src/test/org/joda/test/time/TestDateTimeComparator.java,899.0,899.0,1819.0,2.0,5.0,1.0,179.8,179.8,363.8
JodaTime/src/java/org/joda/time/format/DateTimeFormatter.java,1346.0,1346.0,3738.0,2.0,27.0,6.0,49.85,49.85,138.44
JodaTime/src/test/org/joda/test/time/chrono/gj/TestGJDayOfYearField.java,115.0,115.0,242.0,1.0,4.0,1.0,28.75,28.75,60.5
JodaTime/src/java/org/joda/time/format/DateTimeFormat.java,1765.0,1765.0,4821.0,2.0,35.0,13.0,50.43,50.43,137.74
JodaTime/src/java/org/joda/time/tz/src/solar88,388.0,388.0,776.0,2.0,2.0,1.0,194.0,194.0,388.0
JodaTime/src/test/org/joda/test/time/gj/TestGJSecondOfMinuteDateTimeField.java,116.0,116.0,237.0,2.0,4.0,2.0,29.0,29.0,59.25
JodaTime/src/test/org/joda/test/time/iso/TestISODayOfYearDateTimeField.java,91.0,91.0,187.0,2.0,4.0,2.0,22.75,22.75,46.75
JodaTime/src/java/org/joda/time/tz/src/systemv,106.0,106.0,268.0,2.0,7.0,4.0,15.14,15.14,38.29
JodaTime/src/test/org/joda/test/time/chrono/gj/TestGJChronology.java,340.0,340.0,713.0,2.0,6.0,1.0,56.67,56.67,118.83
JodaTime/src/java/org/joda/time/tz/src/northamerica,14447.0,14447.0,41497.0,2.0,37.0,33.0,390.46,390.46,1121.54
JodaTime/src/test/org/joda/test/time/chrono/gj/TestGJDayOfWeekField.java,119.0,119.0,256.0,1.0,4.0,1.0,29.75,29.75,64.0
JodaTime/src/test/org/joda/test/time/TestConstructors.java,744.0,744.0,1503.0,1.0,4.0,2.0,186.0,186.0,375.75
JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java,154.0,154.0,308.0,1.0,2.0,1.0,77.0,77.0,154.0
JodaTime/src/test/org/joda/test/time/gj/TestGJClockhourOfHalfdayDateTimeField.java,138.0,138.0,281.0,2.0,4.0,2.0,34.5,34.5,70.25
JodaTime/src/test/org/joda/test/time/TestInstant.java,270.0,270.0,545.0,1.0,4.0,2.0,67.5,67.5,136.25
JodaTime/src/java/org/joda/time/chrono/gj/GJWeekyearDateTimeField.java,370.0,370.0,812.0,2.0,4.0,1.0,92.5,92.5,203.0
JodaTime/src/test/org/joda/test/time/gj/TestGJDayOfYearDateTimeField.java,130.0,130.0,265.0,2.0,4.0,2.0,32.5,32.5,66.25
