methods,count
com/google/common/collect/ImmutableList.of,3
com/google/errorprone/refaster/Choice$1.<init>,3
com/google/errorprone/ErrorProneOptions$Builder.build,6
com/google/errorprone/refaster/Choice$2.<init>,2
com/google/errorprone/refaster/Choice$3.<init>,3
java/io/PrintWriter.<init>,14
java/lang/String.substring,11
java/lang/Enum.<init>,4
java/util/Collections.emptyIterator,5
java/lang/Object.getClass,1
com/google/errorprone/refaster/Choice$5.<init>,1
com/google/errorprone/refaster/Choice$4.<init>,4
com/google/errorprone/refaster/Choice.asIterable,1
com/google/common/collect/ForwardingMap.<init>,1
com/google/errorprone/refaster/Bindings$Key.getValueType,1
java/lang/StringBuilder.length,4
com/google/common/collect/ImmutableList.builder,8
com/google/common/collect/ImmutableList.size,2
com/google/common/collect/ImmutableList$Builder.add,5
java/io/StringReader.<init>,4
com/google/errorprone/refaster/Choice$8.<init>,1
com/google/common/collect/Iterators.concat,2
com/google/errorprone/refaster/Bindings.<init>,2
com/google/errorprone/ErrorProneOptions$Severity.<init>,4
com/google/errorprone/refaster/Choice$6.<init>,1
java/lang/Iterable.iterator,9
com/google/errorprone/ErrorProneOptions.processArgs,5
com/google/errorprone/ErrorProneOptions.<init>,12
java/lang/String.isEmpty,10
java/util/Map.put,8
java/io/LineNumberReader.<init>,4
java/util/Collection.iterator,3
com/google/common/base/Optional.absent,3
com/google/common/collect/ImmutableMap.copyOf,6
com/google/common/base/Joiner.join,6
java/util/List.add,16
com/google/common/collect/Iterables.transform,1
java/lang/String.length,11
com/google/errorprone/scanner/BuiltInCheckerSuppliers.defaultChecks,14
com/google/common/base/Optional.presentInstances,1
java/lang/Object.<init>,72
com/google/common/collect/ImmutableList$Builder.build,5
java/lang/String.equals,32
com/google/errorprone/refaster/Bindings$Key$1.<init>,1
com/google/errorprone/ErrorProneOptions$Builder.<init>,22
com/google/errorprone/refaster/Choice.none,1
java/lang/StringBuilder.substring,3
java/util/Arrays.asList,5
java/lang/String.split,11
java/io/LineNumberReader.readLine,21
java/util/List.addAll,1
com/google/errorprone/refaster/Choice$5$1.<init>,1
com/google/common/collect/ImmutableList.toArray,2
java/lang/Enum.valueOf,7
java/util/Collection.size,3
java/lang/StringBuilder.<init>,35
com/google/errorprone/apply/SourceFile.getLines,5
com/google/common/base/Preconditions.checkArgument,9
java/util/ArrayList.<init>,5
com/google/common/io/CharSource.readLines,3
[Lcom/google/errorprone/ErrorProneOptions$Severity;.clone,1
java/lang/StringBuilder.replace,5
com/google/errorprone/InvalidCommandLineOptionException.<init>,3
com/google/common/io/CharSource.wrap,7
java/lang/String.startsWith,16
java/util/Iterator.hasNext,24
com/google/common/collect/Iterators.singletonIterator,2
java/lang/Thread.interrupted,2
com/google/errorprone/ErrorProneOptions$Builder.putSeverity,8
com/google/common/base/Joiner.on,8
com/google/errorprone/ErrorProneOptions$Severity.valueOf,7
com/google/common/base/Function.apply,3
java/util/HashMap.<init>,12
java/lang/Exception.<init>,3
com/google/errorprone/refaster/Choice$5$1.apply,3
com/google/common/base/Preconditions.checkNotNull,23
com/google/errorprone/refaster/Choice.iterator,13
com/sun/tools/javac/api/JavacTool.create,6
com/google/common/reflect/TypeToken.getRawType,1
java/util/List.get,4
java/lang/StringBuilder.toString,21
com/google/common/reflect/TypeToken.<init>,1
java/lang/Class.cast,1
java/util/List.size,9
java/util/Iterator.next,16
com/google/common/collect/Iterators.transform,1
com/google/errorprone/refaster/Choice.<init>,22
java/lang/StringBuilder.append,18
com/google/errorprone/apply/SourceFile.replaceLines,1
java/io/LineNumberReader.getLineNumber,42
