klength,call_sequence,count
2,ImmutableList.of Object.<init> ,2
2,Choice$1.<init> Choice.<init> ,3
2,ErrorProneOptions$Builder.build ImmutableMap.copyOf ,6
2,Choice$2.<init> Choice.<init> ,2
2,Choice$3.<init> Choice.<init> ,3
2,PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ,14
2,String.substring String.split ,11
2,Enum.<init> ErrorProneOptions$Severity.<init> ,3
2,Collections.emptyIterator Iterator.hasNext ,2
2,Object.getClass Bindings$Key$1.<init> ,1
2,Choice$5.<init> Choice.<init> ,1
2,Choice$4.<init> Object.<init> ,4
2,Choice.asIterable Choice$4.<init> ,1
2,ForwardingMap.<init> Object.<init> ,1
2,Bindings$Key.getValueType Object.getClass ,1
2,StringBuilder.length StringBuilder.<init> ,4
2,ImmutableList.builder ErrorProneOptions$Builder.<init> ,8
2,ImmutableList.size ImmutableList.toArray ,2
2,ImmutableList$Builder.add Iterator.hasNext ,5
2,StringReader.<init> LineNumberReader.<init> ,4
2,Choice$8.<init> Choice.<init> ,1
2,Iterators.concat Choice$5$1.apply ,1
2,Bindings.<init> HashMap.<init> ,1
2,ErrorProneOptions$Severity.<init> Enum.<init> ,4
2,Choice$6.<init> Choice.<init> ,1
2,Iterable.iterator Iterator.hasNext ,8
2,ErrorProneOptions.processArgs Preconditions.checkNotNull ,5
2,ErrorProneOptions.<init> ErrorProneOptions.<init> ,6
2,String.isEmpty StringBuilder.<init> ,1
2,Map.put Iterator.hasNext ,8
2,LineNumberReader.<init> ArrayList.<init> ,4
2,Collection.iterator Choice$5$1.<init> ,1
2,Optional.absent Object.<init> ,1
2,ImmutableMap.copyOf ErrorProneOptions.<init> ,6
2,Joiner.join StringBuilder.append ,6
2,List.add List.size ,4
2,Iterables.transform Optional.presentInstances ,1
2,String.length String.substring ,11
2,BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ,2
2,Optional.presentInstances Iterable.iterator ,1
2,Object.<init> HashMap.<init> ,11
2,ImmutableList$Builder.build ErrorProneOptions$Builder.build ,5
2,String.equals String.startsWith ,16
2,Bindings$Key$1.<init> TypeToken.<init> ,1
2,ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ,11
2,Choice.none Choice$8.<init> ,1
2,StringBuilder.substring Object.<init> ,3
2,Arrays.asList ErrorProneOptions.processArgs ,5
2,String.split StringBuilder.<init> ,1
2,LineNumberReader.readLine LineNumberReader.getLineNumber ,21
2,List.addAll List.size ,1
2,Choice$5$1.<init> Object.<init> ,1
2,ImmutableList.toArray Preconditions.checkNotNull ,2
2,Enum.valueOf ErrorProneOptions$Severity;.clone ,1
2,Collection.size Choice$3.<init> ,3
2,StringBuilder.<init> StringBuilder.toString ,3
2,SourceFile.getLines CharSource.wrap ,1
2,Preconditions.checkArgument Object.<init> ,4
2,ArrayList.<init> List.size ,1
2,CharSource.readLines Object.<init> ,2
2,ErrorProneOptions$Severity;.clone StringBuilder.<init> ,1
2,StringBuilder.replace StringBuilder.toString ,5
2,InvalidCommandLineOptionException.<init> Exception.<init> ,3
2,CharSource.wrap Object.<init> ,4
2,String.startsWith ImmutableList$Builder.add ,5
2,Iterator.hasNext Optional.absent ,2
2,Iterators.singletonIterator Choice$5$1.apply ,1
2,Thread.interrupted Choice$5.<init> ,1
2,ErrorProneOptions$Builder.putSeverity Map.put ,8
2,Joiner.on Object.<init> ,2
2,ErrorProneOptions$Severity.valueOf ErrorProneOptions$Severity.<init> ,1
2,Function.apply Choice.iterator ,3
2,HashMap.<init> ImmutableList.of ,3
2,Exception.<init> Preconditions.checkNotNull ,3
2,Choice$5$1.apply Function.apply ,3
2,Preconditions.checkNotNull Choice.iterator ,2
2,Choice.iterator Collections.emptyIterator ,5
2,JavacTool.create JavacTool.create ,3
2,TypeToken.getRawType Class.cast ,1
2,List.get List.add ,4
2,StringBuilder.toString Object.<init> ,6
2,TypeToken.<init> TypeToken.getRawType ,1
2,Class.cast Choice$1.<init> ,1
2,List.size List.get ,4
2,Iterator.next String.equals ,16
2,Iterators.transform Iterators.concat ,1
2,Choice.<init> Choice.<init> ,11
2,StringBuilder.append StringBuilder.toString ,9
2,SourceFile.replaceLines StringBuilder.length ,1
2,LineNumberReader.getLineNumber LineNumberReader.readLine ,17
3,ImmutableList.of Object.<init> StringBuilder.<init> ,2
3,Choice$1.<init> Choice.<init> Choice.<init> ,3
3,ErrorProneOptions$Builder.build ImmutableMap.copyOf ErrorProneOptions.<init> ,6
3,Choice$2.<init> Choice.<init> Choice.<init> ,2
3,Choice$3.<init> Choice.<init> Choice.<init> ,3
3,PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ,2
3,String.substring String.split StringBuilder.<init> ,1
3,Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ,3
3,Collections.emptyIterator Iterator.hasNext Optional.absent ,2
3,Object.getClass Bindings$Key$1.<init> TypeToken.<init> ,1
3,Choice$5.<init> Choice.<init> Choice.<init> ,1
3,Choice$4.<init> Object.<init> Choice.iterator ,3
3,Choice.asIterable Choice$4.<init> Object.<init> ,1
3,ForwardingMap.<init> Object.<init> Preconditions.checkNotNull ,1
3,Bindings$Key.getValueType Object.getClass Bindings$Key$1.<init> ,1
