"","klength","call_sequence","count"
"1",3,"LineNumberReader.getLineNumber LineNumberReader.readLine LineNumberReader.getLineNumber ",17
"2",3,"Iterator.next String.equals String.startsWith ",16
"3",3,"String.length String.substring String.split ",11
"4",3,"ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> ",11
"5",3,"Choice.<init> Choice.<init> Object.<init> ",11
"6",3,"LineNumberReader.readLine LineNumberReader.getLineNumber LineNumberReader.readLine ",9
"7",3,"ImmutableList.builder ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ",8
"8",3,"Iterable.iterator Iterator.hasNext Iterator.next ",8
"9",3,"ErrorProneOptions$Builder.putSeverity Map.put Iterator.hasNext ",8
"10",3,"ErrorProneOptions$Builder.build ImmutableMap.copyOf ErrorProneOptions.<init> ",6
"11",3,"ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> ",6
"12",3,"ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> ",6
"13",3,"Joiner.join StringBuilder.append StringBuilder.toString ",6
"14",3,"StringBuilder.toString Object.<init> StringBuilder.<init> ",6
"15",3,"ErrorProneOptions.processArgs Preconditions.checkNotNull ImmutableList.builder ",5
