"","methods","frequency"
"1","java/lang/CharSequence.charAt",15236
"2","org/joda/time/format/InternalParser.parseInto",14762
"3","java/lang/Object.<init>",12326
"4","org/joda/time/chrono/BasicChronology.getYearInfo",11354
"5","org/joda/time/chrono/BasicChronology.getYearMillis",8832
"6","java/lang/CharSequence.length",7504
"7","org/joda/time/DateTimeUtils.getChronology",7138
"8","org/joda/time/chrono/BasicGJChronology.isLeapYear",6808
"9","java/util/List.get",5982
"10","java/util/List.add",4328
"11","org/joda/time/field/FieldUtils.verifyValueBounds",4286
"12","org/joda/time/chrono/BasicChronology.getApproxMillisAtEpochDividedByTwo",4214
"13","org/joda/time/chrono/BasicChronology.getAverageMillisPerYearDividedByTwo",4214
"14","org/joda/time/DateTimeFieldType.getField",4186
"15","org/joda/time/format/DateTimeParserBucket.access$300",4004
