"","klength","call_sequence","count"
"1",3,"BasicChronology.getApproxMillisAtEpochDividedByTwo BasicChronology.getYearMillis BasicChronology.getYearInfo ",4214
"2",3,"BasicChronology.getAverageMillisPerYearDividedByTwo BasicChronology.getApproxMillisAtEpochDividedByTwo BasicChronology.getYearMillis ",4214
"3",3,"BasicChronology.getYear BasicChronology.getAverageMillisPerYearDividedByTwo BasicChronology.getApproxMillisAtEpochDividedByTwo ",3686
"4",3,"BasicGJChronology.getYearMillis BasicChronology.getYearInfo BasicGJChronology.isLeapYear ",2522
"5",3,"DateTimeParserBucket.access$002 DateTimeParserBucket.access$102 DateTimeParserBucket.access$202 ",2250
"6",3,"DateTimeParserBucket$SavedState.restoreState DateTimeParserBucket.access$002 DateTimeParserBucket.access$102 ",2250
"7",3,"DateTimeParserBucket.access$102 DateTimeParserBucket.access$202 DateTimeParserBucket.access$300 ",2250
"8",3,"DateTimeParserBucket.restoreState DateTimeParserBucket$SavedState.restoreState DateTimeParserBucket.access$002 ",2250
"9",3,"DateTimeParserBucket$SavedField.<init> Object.<init> DateTimeFieldType.getField ",2244
"10",3,"DateTimeParserBucket.access$000 DateTimeParserBucket.access$100 DateTimeParserBucket.access$200 ",1754
"11",3,"DateTimeParserBucket$SavedState.<init> Object.<init> DateTimeParserBucket.access$000 ",1754
"12",3,"DateTimeParserBucket.saveState DateTimeParserBucket$SavedState.<init> Object.<init> ",1754
"13",3,"DateTimeParserBucket.access$100 DateTimeParserBucket.access$200 DateTimeParserBucket.access$300 ",1754
"14",3,"InternalParser.parseInto CharSequence.length CharSequence.charAt ",1752
"15",3,"InternalParser.estimateParsedLength List.get InternalParser.estimateParsedLength ",1704
